title,total_sales,na_sales,pal_sales,other_sales,console,genre,publisher,developer,release_date
DiRT,1.94,0.54,1.08,0.31999999999999984,"PC, PS3, Series, X360, XBL",Racing,Codemasters,Codemasters,2007-06-19
XCOM: Enemy Unknown,1.94,0.89,0.83,0.21999999999999997,"Linux, OSX, PC, PS3, X360",Strategy,2K Games,Firaxis Games,2012-10-09
Scooby Doo and the Cyber Chase,1.94,0.59,1.23,0.1200000000000001,PS,Adventure,THQ,Art,2001-10-04
Shark Tale,1.9300000000000002,1.24,0.57,0.1200000000000001,"GBA, GC, PC, PS2, XB",Action,Activision,Edge of Reality,2004-09-27
Burnout Revenge,1.9300000000000002,1.49,0.26,0.18000000000000016,"PS2, X360, XB, XBL",Racing,Electronic Arts,Criterion Games,2005-09-13
Skate 2,1.9300000000000002,1.28,0.42000000000000004,0.22999999999999998,"PS3, X360",Sports,Electronic Arts,EA Black Box,2009-01-21
State of Emergency,1.93,0.99,0.7100000000000001,0.22999999999999976,"PC, PS2, XB",Action,Rockstar Games,VIS Entertainment,2002-02-12
Mortal Kombat II,1.93,1.48,0.39,0.05999999999999983,"Arc, GB, GG, MS, PC, PS, PSN, SAT, SNES",Fighting,Acclaim Entertainment,Sculptured Software,1993-06-25
Virtua Fighter 2,1.93,0.34,0.26,1.33,"GEN, PC, SAT, VC",Fighting,Sega,Sega-AM2,1996-01-01
Red Faction,1.92,0.76,0.96,0.19999999999999996,"NGage, PC, PS2",Shooter,THQ,Volition Inc.,2001-05-21
The Sims: Makin' Magic,1.92,1.03,0.8,0.08999999999999986,PC,Simulation,Electronic Arts,Maxis,2003-10-28
The Legend of Zelda: Oracle of Ages,1.92,0.92,0.53,0.47,GBC,Adventure,Nintendo,Flagship,2001-05-13
EA Sports UFC 2,1.92,0.8,0.8400000000000001,0.2799999999999998,"PS4, XOne",Sports,EA Sports,EA Canada,2016-03-15
DiRT 3,1.92,0.5052631578947369,1.1216842105263156,0.2930526315789474,"PC, PS3, X360",Racing,Codemasters,Codemasters,2011-05-24
Operation Flashpoint: Dragon Rising,1.9100000000000001,0.6232631578947369,0.9449473684210526,0.34178947368421053,"PC, PS3, X360",Shooter,Codemasters,Codemasters,2009-10-06
Go Vacation,1.9100000000000001,0.5371875,0.8754166666666667,0.49739583333333337,"NS, Wii",Misc,Namco Bandai,Namco Bandai Games,2011-10-11
Sleeping Dogs,1.9100000000000001,0.6936315789473685,0.9047368421052633,0.31163157894736854,"PC, PS3, X360",Action-Adventure,Square Enix,United Front Games,2012-08-14
Brutal Legend,1.91,1.1600000000000001,0.53,0.21999999999999975,"PS3, X360",Action,Electronic Arts,Double Fine Productions,2009-10-13
NASCAR Thunder 2002,1.91,1.0499999999999998,0.67,0.19000000000000017,"PS, PS2, XB",Racing,EA Sports,EA Tiburon,2001-10-02
Fight Night Champion,1.91,0.8500000000000001,0.81,0.24999999999999978,"PS3, PSN, X360",Fighting,EA Sports,EA Canada,2011-03-01
The Lord of the Rings: War in the North,1.91,0.8933870967741936,0.8009677419354838,0.21564516129032257,"PC, PS3, X360",Role-Playing,Warner Bros. Interactive,Snowblind Studios,2011-11-01
Evolve,1.9000000000000001,0.9288888888888891,0.7494444444444446,0.22166666666666673,"PC, PS4, XOne",Shooter,2K Games,Turtle Rock Studios,2015-02-10
Twisted Metal,1.9000000000000001,1.6400000000000001,0.19,0.07000000000000006,"PS, PS3, PSN",Action,Sony Computer Entertainment,SingleTrac,1995-11-05
Star Wars Rogue Leader: Rogue Squadron II,1.9,1.03,0.75,0.12,GC,Simulation,LucasArts,Factor 5,2001-11-09
Harry Potter and the Deathly Hallows - Part 1,1.8900000000000001,0.83,0.87,0.19000000000000017,"DS, PC, PS3, Wii, X360",Action,Electronic Arts,EA Bright Light,2010-11-09
Tiger Woods PGA Tour 11,1.8900000000000001,0.88,0.79,0.2200000000000002,"PS3, Wii, X360",Sports,EA Sports,EA Tiburon,2010-06-08
Juiced 2: Hot Import Nights,1.89,0.967235294117647,0.8227058823529412,0.10005882352941176,"DS, PC, PS2, PS3, PSN, PSP, X360, XBL",Racing,THQ,Juice Games,2007-09-17
Toy Story Mania!,1.89,1.04,0.66,0.18999999999999972,Wii,Misc,Disney Interactive Studios,Papaya Studios,2009-09-15
Bolt,1.8800000000000001,0.9299999999999999,0.64,0.3100000000000003,"DS, PC, PS2, PS3, Wii, X360, XBL",Adventure,Disney Interactive Studios,Avalanche Software,2008-11-18
